MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,MC_PITCHRATE_D,MC_PITCHRATE_I,MC_PITCHRATE_K,MC_ROLLRATE_D,MC_ROLLRATE_I,MC_ROLLRATE_K,MPC_THR_MAX,MC_PITCHRATE_MAX,MPC_THR_MIN,dist,directional distance,max_tilt_angle,instabilities
0.38,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,91.9,1.1,47.9,9
0.01,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.3,-0.5,49.5,12
0.6,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,87.9,-2.9,47.9,11
0.08,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.5,-2.3,54,10
0.15,9.3,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,89.4,-1.4,52.9,9
0.15,3.3,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.6,-0.2,47.8,12
0.15,12,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.4,-2.4,54.5,9
0.15,0,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,89.1,-1.7,49.3,12
0.15,6.5,0.33,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.6,-2.2,49.3,11
0.15,6.5,0.01,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.4,-2.4,49.3,14
0.15,6.5,0.5,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,93.5,2.7,47.7,9
0.15,6.5,0.08,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.7,-2.1,49.4,11
0.15,6.5,0.15,9.3,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90,-0.8,49.3,8
0.15,6.5,0.15,3.3,0.003,0.2,1,0.003,0.2,1,1,220,0.12,89.9,-0.9,49.5,9
0.15,6.5,0.15,12,0.003,0.2,1,0.003,0.2,1,1,220,0.12,89.3,-1.5,49.3,10
0.15,6.5,0.15,0,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.2,-0.6,49.3,11
0.15,6.5,0.15,6.5,0.01,0.2,1,0.003,0.2,1,1,220,0.12,88.7,-2.1,50.7,8
0.15,6.5,0.15,6.5,0.0015,0.2,1,0.003,0.2,1,1,220,0.12,94.1,3.3,48.6,9
0.15,6.5,0.15,6.5,12,0.2,1,0.003,0.2,1,1,220,0.12,90.9,0.1,48.9,15
0.15,6.5,0.15,6.5,0,0.2,1,0.003,0.2,1,1,220,0.12,89.9,-0.9,47.8,10
0.15,6.5,0.15,6.5,0.003,0.1,1,0.003,0.2,1,1,220,0.12,90.2,-0.6,49,8
0.15,6.5,0.15,6.5,0.003,0.6,1,0.003,0.2,1,1,220,0.12,88.3,-2.5,52,13
0.15,6.5,0.15,6.5,0.003,12,1,0.003,0.2,1,1,220,0.12,96.3,5.5,50.7,12
0.15,6.5,0.15,6.5,0.003,0,1,0.003,0.2,1,1,220,0.12,89.5,-1.3,47.9,11
0.15,6.5,0.15,6.5,0.003,0.2,5,0.003,0.2,1,1,220,0.12,88.1,-2.7,47.9,8
0.15,6.5,0.15,6.5,0.003,0.2,0.01,0.003,0.2,1,1,220,0.12,88.8,-2,49.3,13
0.15,6.5,0.15,6.5,0.003,0.2,3,0.003,0.2,1,1,220,0.12,90.2,-0.6,47.8,10
0.15,6.5,0.15,6.5,0.003,0.2,0.505,0.003,0.2,1,1,220,0.12,92.1,1.3,49.2,11
0.15,6.5,0.15,6.5,0.003,0.2,1,0.0065,0.2,1,1,220,0.12,89.9,-0.9,49.4,9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.01,0.2,1,1,220,0.12,88.6,-2.2,49.3,9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.0015,0.2,1,1,220,0.12,88.8,-2,49.4,8
0.15,6.5,0.15,6.5,0.003,0.2,1,0,0.2,1,1,220,0.12,90.3,-0.5,49.4,10
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.1,1,1,220,0.12,88.8,-2,49.4,9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.6,1,1,220,0.12,88.7,-2.1,49.4,9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,12,1,1,220,0.12,88.4,-2.4,47.6,9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0,1,1,220,0.12,88.8,-2,49.4,9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,5,1,220,0.12,90,-0.8,47.9,7
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,0.01,1,220,0.12,92.3,1.5,49.5,15
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,3,1,220,0.12,91.6,0.8,47.8,9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,0.505,1,220,0.12,91.9,1.1,49.4,12
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,1010,0.12,88.5,-2.3,49.2,9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,1800,0.12,90.2,-0.6,49.4,11
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,0,0.12,90.2,-0.6,49.4,13
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,110,0.12,90.2,-0.6,47.9,11
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.56,89800,89709.2,49.4,8
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.085,88.5,-2.3,49.3,9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.05,88.5,-2.3,49.4,9