MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,MC_PITCHRATE_D,MC_PITCHRATE_I,MC_PITCHRATE_K,MC_ROLLRATE_D,MC_ROLLRATE_I,MC_ROLLRATE_K,MPC_THR_MAX,MC_PITCHRATE_MAX,MPC_THR_MIN,dist,max_alt_dif,avg_spd,max_speed,max_speed_horizontal,max_speed_up,max_speed_down,max_tilt_angle
0.6,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,93.6,10,4.2,27.9,27.6,5.8,5.8,48.1
0.38,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.3,10,4.3,27.9,27.6,8.7,4.7,44.5
0.01,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,4.6,1,0.6,24.7,8.5,4.2,24.6,179.7
0.08,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.4,11,4.3,28.7,28.4,9.9,4.7,60.6
0.15,3.3,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.7,10,4.2,28.7,28.3,10.1,4.6,43.2
0.15,9.3,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.8,11,4.1,28,27.7,9.4,4.7,52.7
0.15,12,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,96.3,12,4.1,27.7,27.4,9.1,8.1,54.5
0.15,0,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,29.2,10,3.1,17.5,17.5,9.2,4,30.5
0.15,6.5,0.5,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.1,10,4.2,28.4,28.2,6.1,4.9,47.6
0.15,6.5,0.33,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.8,10,4.3,28.1,27.8,9.5,4.7,49.5
0.15,6.5,0.01,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,6.4,2,0.7,20.4,7.9,4,19.6,179.3
0.15,6.5,0.08,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,89.9,11,4.3,28,27.7,9.3,4.7,49.2
0.15,6.5,0.15,3.3,0.003,0.2,1,0.003,0.2,1,1,220,0.12,94.9,11,4.2,28,27.7,9.5,7.9,49.3
0.15,6.5,0.15,9.3,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.7,10,4.3,28.1,27.8,9.5,4.7,49.5
0.15,6.5,0.15,12,0.003,0.2,1,0.003,0.2,1,1,220,0.12,94.5,11,4.1,28.3,28,9.7,8,49.5
0.15,6.5,0.15,0,0.003,0.2,1,0.003,0.2,1,1,220,0.12,34.6,10,2.3,26.9,26.9,9.6,2.5,49.3
0.15,6.5,0.15,6.5,0.01,0.2,1,0.003,0.2,1,1,220,0.12,88.2,10,4.4,28.5,28.1,9.6,4.7,53.7
0.15,6.5,0.15,6.5,12,0.2,1,0.003,0.2,1,1,220,0.12,16.3,5,1.1,12,10.7,5.8,1.8,29.1
0.15,6.5,0.15,6.5,0.0015,0.2,1,0.003,0.2,1,1,220,0.12,88.6,10,4.3,28,27.7,9.5,4.7,47.9
0.15,6.5,0.15,6.5,0,0.2,1,0.003,0.2,1,1,220,0.12,88.6,10,4.3,28,27.7,9.3,4.7,46
0.15,6.5,0.15,6.5,0.003,0.6,1,0.003,0.2,1,1,220,0.12,88.4,10,4.3,28,27.7,9.4,4.6,50
0.15,6.5,0.15,6.5,0.003,12,1,0.003,0.2,1,1,220,0.12,90.8,10,4.1,28.7,28.5,7.2,4.9,48.2
0.15,6.5,0.15,6.5,0.003,0.1,1,0.003,0.2,1,1,220,0.12,90.2,11,4.2,28.1,27.8,9.5,4.7,48.6
0.15,6.5,0.15,6.5,0.003,0,1,0.003,0.2,1,1,220,0.12,94.7,12,4.2,28.3,28,9.6,8.1,48.2
0.15,6.5,0.15,6.5,0.003,0.2,0.505,0.003,0.2,1,1,220,0.12,91,11,4.2,28.8,28.4,9.8,4.7,58.9
0.15,6.5,0.15,6.5,0.003,0.2,3,0.003,0.2,1,1,220,0.12,90,10,4.1,28.6,28.3,6.8,4.7,44.4
0.15,6.5,0.15,6.5,0.003,0.2,0.01,0.003,0.2,1,1,220,0.12,16.9,3,2.3,46.6,37.6,12.4,27.7,179.3
0.15,6.5,0.15,6.5,0.003,0.2,5,0.003,0.2,1,1,220,0.12,156,11,3.2,23.4,23,6.1,9.7,45.6
0.15,6.5,0.15,6.5,0.003,0.2,1,0.01,0.2,1,1,220,0.12,89.7,11,4.3,28.1,27.8,9.6,4.7,49.3
0.15,6.5,0.15,6.5,0.003,0.2,1,0.0015,0.2,1,1,220,0.12,90,11,4.2,28.1,27.8,9.5,4.7,49.3
0.15,6.5,0.15,6.5,0.003,0.2,1,0.0065,0.2,1,1,220,0.12,88.9,10,4.3,28.1,27.8,9.5,4.7,49.1
0.15,6.5,0.15,6.5,0.003,0.2,1,0,0.2,1,1,220,0.12,88.1,10,4.3,28.1,27.7,9.3,4.7,49.3
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.6,1,1,220,0.12,91,11,4.2,28.4,28,9.5,4.7,49.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,12,1,1,220,0.12,89.8,10,4.3,28.5,28.2,7.6,4.8,47.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.1,1,1,220,0.12,90,11,4.3,28.1,27.8,9.7,4.7,49.2
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0,1,1,220,0.12,88.5,10,4.3,28.1,27.8,9.6,4.7,49.2
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,0.505,1,220,0.12,88.3,10,4.3,28,27.7,9.7,4.7,49.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,3,1,220,0.12,92,10,4.3,27.3,27,5.7,5.2,47.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,0.01,1,220,0.12,30.9,12,2.9,63.4,27.4,6,57.2,178.7
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,5,1,220,0.12,104.2,11,2.6,17.3,17.3,4.5,12.8,48.2
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,0,220,0.12,0,0,0.1,0.4,0.1,0,0.3,0.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,0.25,220,0.12,29200,1,0.2,0.6,0.3,0.6,0.5,1.2
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,0.5,220,0.12,21100,0,0.2,0.6,0.3,0.6,0.5,1.2
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,0.75,220,0.12,27600,7,0.3,17,0.5,5.7,17,2
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,1800,0.12,88.5,10,4.3,27.9,27.6,9.6,4.7,49.3
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,1010,0.12,90.1,11,4.2,27.8,27.5,9.6,4.7,49.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,110,0.12,88.6,10,4.3,28,27.7,10,4.7,47.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,0,0.12,29.2,10,3.2,33.2,33.2,8.7,1.1,48.7
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.56,88800,10,4.4,28.1,27.8,9.6,4.5,49.3
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,1,0,0,0.1,0.4,0.1,0,0.3,0.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.085,88.6,10,4.3,28.1,27.8,9.6,4.7,49.5
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.05,90.6,11,4.2,28.1,27.7,9.7,4.7,49