MC_PITCHRATE_D,MC_PITCHRATE_I,MC_PITCHRATE_K,MC_ROLLRATE_D,MC_ROLLRATE_I,MC_ROLLRATE_K,MPC_THR_MAX,MPC_PITCHRATE_MAX,MPC_THR_MIN,MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P
12,0.6,3,0.01,0.2,1,1,1800,0.56,0.01,12,0.5,6.5
12,0,0.01,0,0.1,3,0.25,220,1,0.01,6.5,0.5,3.3
12,0.6,0.505,0.003,0.2,5,0.5,1010,0.05,0.08,9.3,0.01,0
0.0015,0.2,0.505,0.0065,0.2,3,0.5,0,0.12,0.15,3.3,0.08,12
0,0,5,0.0015,0,1,0.75,220,0.05,0.01,0,0.08,0
0.01,0,3,0.0015,0.2,0.01,0.5,220,0.56,0.6,0,0.15,6.5
0.0015,0.1,0.505,0.01,0,0.01,0.75,1010,0.085,0.38,6.5,0.5,9.3
0.003,0.2,0.505,0.01,12,5,0.25,220,0.56,0.01,3.3,0.01,9.3
0.01,0.6,1,0,0.6,3,0.25,0,0.05,0.6,0,0.08,9.3
0.01,12,1,0.01,0.1,1,0.5,220,0.12,0.08,9.3,0.33,9.3
0.01,0.2,3,0.003,0.1,5,0.75,110,0.56,0.6,6.5,0.08,3.3
0,0.2,0.01,0.0065,0.1,0.505,0.25,110,0.085,0.08,0,0.5,0
0.003,12,3,0.0015,0,3,1,1010,0.085,0.6,12,0.33,3.3
0,0,3,0,0,0.01,0.25,1800,0.56,0.15,9.3,0.01,12
0.003,0,1,0.003,0.6,0.505,0.5,110,0.085,0.01,9.3,0.5,6.5
0.0015,12,1,0.0015,0.6,3,0.75,1800,0.56,0.08,12,0.01,0
0.01,12,5,0,0.6,5,1,1010,1,0.15,3.3,0.5,0
0.0015,0,0.505,0.01,0.6,1,1,110,1,0.38,0,0.01,9.3
0,0.1,0.01,0.003,0.6,1,0.5,220,0.05,0.38,12,0.33,3.3
0.003,0.1,1,0,0.2,0.01,0.75,110,1,0.15,9.3,0.08,3.3
0,0.6,0.01,0.0015,0.2,0.505,1,220,1,0.6,6.5,0.01,12
12,0.1,5,0.0015,0.2,0.505,0.25,110,0.12,0.15,12,0.33,9.3
0.0015,0.2,5,0,0,5,0.5,1800,1,0.08,6.5,0.33,6.5
12,0.2,0.505,0.0015,12,1,0,0,0.085,0.6,9.3,0.5,12
0.01,0.1,5,0.003,0.1,3,1,0,0.56,0.38,9.3,0.15,12
0.01,12,0.505,0,0.2,1,0,1800,0.085,0.38,12,0.08,6.5
0.0015,0.1,3,0.0065,0,0.505,0,1800,0.05,0.6,3.3,0.5,0
0,0,0.505,0.0015,0.1,1,0.25,1010,0.12,0.38,3.3,0.33,6.5
12,12,1,0.0065,0.6,0.01,0,1010,0.56,0.01,0,0.33,12
0.003,0.1,0.01,0.003,0,5,0,1800,0.12,0.15,0,0.5,3.3
0,0,3,0.0065,12,5,0,0,1,0.08,12,0.15,9.3
0.003,0.6,5,0.01,12,0.01,0.75,0,0.12,0.6,6.5,0.33,0
0.0015,0.6,5,0.0065,0.1,1,0,220,0.085,0.15,9.3,0.01,3.3
0.003,0.2,3,0.0065,0.6,1,1,1010,0.12,0.38,6.5,0.15,0
0.003,0.2,1,0.01,0.1,0.01,1,1800,0.05,0.08,12,0.15,12
0.01,0.1,0.01,0.0065,0,0.505,0.75,0,0.12,0.01,9.3,0.01,6.5
0,12,1,0.01,12,3,0,110,0.05,0.15,6.5,0.15,6.5
12,0.6,1,0.0015,0,5,0.75,110,0.085,0.38,3.3,0.15,12
0.0015,12,0.01,0.003,12,0.01,0.25,1800,1,0.01,3.3,0.15,9.3
12,0.1,0.01,0.01,12,0.505,1,1010,0.56,0.08,3.3,0.08,3.3
0.01,12,0.505,0,12,0.505,0.5,0,0.12,0.38,0,0.15,3.3