configuration no,MC_PITCHRATE_D,MC_PITCHRATE_I,MC_PITCHRATE_K,MC_ROLLRATE_D,MC_ROLLRATE_I,MC_ROLLRATE_K,MPC_THR_MAX,MC_PITCHRATE_MAX,MPC_THR_MIN,MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,distance,max_alt_dif,avg_speed,max_speed,max_speed_h,max_speed_up,max_speed_down,max_tilt
1,0,12,5,0.0065,0,1,1,220,0.12,0.15,6.5,0.33,9.3,89.8,12,3.7,28,27.7,8.9,4.7,49.7
2,0.003,0.2,1,0,12,5,1,220,0.05,0.38,6.5,0.5,3.3,90,11,4.2,28,27.7,9.7,4.7,49.3
3,0.0015,12,1,0.0015,0.6,0.505,1,1800,0.05,0.38,12,0.15,12,90.5,11,4.3,28.3,27.9,9.5,4.7,49.4
4,0.0015,0.1,0.505,0,0.1,0.505,1,220,0.05,0.15,9.3,0.15,6.5,89.8,10,4.3,28.1,27.8,9.6,4.7,59.9
5,0.01,0.2,3,0.01,0.6,5,1,110,0.085,0.15,6.5,0.33,6.5,89.5,11,3.9,28,27.7,9.3,4.7,49.4
6,0,0.2,0.505,0.003,0,0.505,1,110,0.12,0.6,12,0.15,3.3,88.6,10,4.3,28.1,27.8,9.7,4.7,47.9
7,0.01,0.1,1,0.01,0,3,1,110,0.12,0.38,3.3,0.5,9.3,96.5,12,3.7,28,27.7,9.3,7.5,49.3
8,0.01,0.6,0.505,0,0.1,5,1,1010,0.12,0.08,12,0.33,9.3,31,6,1.2,8.9,8.2,5.7,2.4,30.1
9,0.01,0.6,1,0.003,0.2,3,1,220,0.05,0.15,12,0.08,6.5,88.8,10,4.3,28.1,27.8,9.4,4.7,59.6
10,0,0,5,0.01,0.2,0.505,1,220,0.05,0.08,9.3,0.15,12,88.2,10,4.2,28.1,27.8,6.3,4.7,48
11,0.01,0,5,0,0.6,3,1,1800,0.085,0.15,12,0.15,3.3,68.2,8,0.2,6.6,3.1,6.5,0.8,10.2
12,0,0.1,3,0.0015,12,3,1,220,0.12,0.38,12,0.33,9.3,89,10,4.3,28.2,27.9,9.5,4.6,49.4
13,0.0015,0.2,3,0.0065,0.2,3,1,1800,0.12,0.08,9.3,0.08,3.3,90.3,11,3.9,27.9,27.6,4.1,4.7,48
14,0,0.2,5,0.0015,0.1,5,1,1010,0.05,0.6,3.3,0.33,12,89.3,10,4.2,28.1,27.8,9.6,4.7,49.5
15,0,0.1,1,0.003,0.1,3,1,1800,0.085,0.6,6.5,0.5,12,88.5,10,4.3,28.1,27.8,9.4,4.7,49.3
16,0.003,0.1,5,0.003,0.6,1,1,220,0.085,0.08,3.3,0.08,3.3,89.7,11,4.1,28,27.7,5.9,4.7,48
17,0.0015,0,3,0.003,0,0.505,1,1010,0.085,0.38,6.5,0.33,9.3,89.4,11,3.8,27.9,27.6,3.4,4.7,47.8
18,0,0.6,1,0.0065,0.6,1,1,1010,0.12,0.38,9.3,0.5,6.5,95.3,12,4,28,27.7,6,7.8,47.7
19,0.003,0.6,0.505,0.0015,0.2,0.505,1,110,0.085,0.15,6.5,0.5,3.3,88.8,10,4.3,28.1,27.8,10.2,4.7,53.1
20,0.01,0,0.505,0.0065,12,0.505,1,1010,0.085,0.15,3.3,0.08,12,94.1,12,4.2,28.1,27.8,9.4,7.4,49.5
21,0.003,0,1,0.0015,0,5,1,1800,0.12,0.08,9.3,0.33,6.5,88.8,10,4.2,28.2,27.8,9.6,4.7,49.4
22,0,0.6,5,0,0,5,1,110,0.05,0.08,6.5,0.08,12,488.3,9,2.2,14,3.5,8.3,14,12.2
23,0.0015,12,5,0.003,12,5,1,110,0.085,0.08,9.3,0.5,6.5,88.8,10,3.9,28.1,27.7,9.2,4.7,49.3
24,0.0015,0.6,3,0.01,12,1,1,1800,0.12,0.6,3.3,0.15,6.5,88.4,10,4.2,28.1,27.8,9.4,4.7,49.3
25,0.003,0,3,0.0065,0.1,1,1,110,0.12,0.6,12,0.5,12,90.3,11,4.1,28,27.7,9.6,4.7,49.3
26,0.01,12,3,0,0.2,1,1,220,0.05,0.6,3.3,0.33,3.3,7.4,0,0.2,0.8,0.5,0.6,0.7,2.9
27,0.01,0.2,0.505,0.0015,0.6,1,1,1800,0.12,0.6,9.3,0.08,9.3,89.7,10,4.3,28.1,27.8,9.7,4.7,49.4
28,0.003,0.1,5,0.0065,0.2,5,1,1010,0.05,0.38,6.5,0.15,9.3,90,11,3.7,27.9,27.6,9.5,4.8,49.4
29,0.003,12,0.505,0.01,0.1,3,1,1010,0.12,0.38,12,0.08,3.3,13.2,1,0.3,1.3,1.3,1.1,0.9,8.3