configuration no,MC_PITCHRATE_D,MC_PITCHRATE_I,MC_PITCHRATE_K,MC_ROLLRATE_D,MC_ROLLRATE_I,MC_ROLLRATE_K,MPC_THR_MAX,MC_PITCHRATE_MAX,MPC_THR_MIN,MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,dist,max_alt_dif,avg_speed,max_speed,max_speed_h,max_speed_up,max_speed_down,max_tilt,
1,0,12,5,0.0065,0,1,1,220,0.12,0.15,6.5,0.33,9.3,233.4,12,1.7,17.1,15.7,2.7,17,46.6,
2,0.003,0.2,1,0,12,5,1,220,0.05,0.38,6.5,0.5,3.3,4.8,3,0.7,5.8,2.8,5.3,0.7,9.7,
3,0.0015,12,1,0.0015,0.6,0.505,1,1800,0.05,0.38,12,0.15,12,123,12,4.8,23.8,14.9,11.2,23.4,35,
4,0.0015,0.1,0.505,0,0.1,0.505,1,220,0.05,0.15,9.3,0.15,6.5,90.7,11,4.1,28.2,27.9,9.8,4.8,60.1,
5,0.01,0.2,3,0.01,0.6,5,1,110,0.085,0.15,6.5,0.33,6.5,7.3,3,0.3,6.1,2.6,5.7,0.8,10.9,
6,0,0.2,0.505,0.003,0,0.505,1,110,0.12,0.6,12,0.15,3.3,88.6,10,4.2,27.5,27.2,9.7,4.8,45.9,
7,0.01,0.1,1,0.01,0,3,1,110,0.12,0.38,3.3,0.5,9.3,10.1,4,0.5,6.1,1.1,6.1,2.1,3.5,
8,0.01,0.6,0.505,0,0.1,5,1,1010,0.12,0.08,12,0.33,9.3,26.6,6,1.2,8.2,3.4,7.9,2.6,17.9,
9,0.01,0.6,1,0.003,0.2,3,1,220,0.05,0.15,12,0.08,6.5,89.1,10,4.3,27.5,27.2,9.2,4.8,59.7,
10,0,0,5,0.01,0.2,0.505,1,220,0.05,0.08,9.3,0.15,12,90.6,10,4.1,28,27.7,6,4.9,53.5,
11,0.01,0,5,0,0.6,3,1,1800,0.085,0.15,12,0.15,3.3,29.1,4,0.3,7.9,6.8,7.9,0.7,28.6,
12,0,0.1,3,0.0015,12,3,1,220,0.12,0.38,12,0.33,9.3,3.9,3,0.5,6.6,2.5,6.4,0.5,12.1,
13,0.0015,0.2,3,0.0065,0.2,3,1,1800,0.12,0.08,9.3,0.08,3.3,148.4,11,2.9,21.2,20.5,4.7,9.7,48.9,
14,0,0.2,5,0.0015,0.1,5,1,1010,0.05,0.6,3.3,0.33,12,4,3,0.5,5.5,0.6,5.5,0.5,3.4,
15,0,0.1,1,0.003,0.1,3,1,1800,0.085,0.6,6.5,0.5,12,4.2,4,0.6,6.7,1.3,6.7,0.5,6.3,
16,0.003,0.1,5,0.003,0.6,1,1,220,0.085,0.08,3.3,0.08,3.3,118.1,10,3.9,24.5,24.5,6.6,5.1,46,
17,0.0015,0,3,0.003,0,0.505,1,1010,0.085,0.38,6.5,0.33,9.3,226.1,12,3.4,22.2,21.7,4,20.6,45.6,
18,0,0.6,1,0.0065,0.6,1,1,1010,0.12,0.38,9.3,0.5,6.5,96.5,10,2.9,24.7,24.6,5.7,5.6,51.1,
19,0.003,0.6,0.505,0.0015,0.2,0.505,1,110,0.085,0.15,6.5,0.5,3.3,92.9,11,4.2,28.5,28.1,10.3,5,53.3,
20,0.01,0,0.505,0.0065,12,0.505,1,1010,0.085,0.15,3.3,0.08,12,26.5,10,2.5,28.7,28.7,8.7,1.4,49.1,
21,0.003,0,1,0.0015,0,5,1,1800,0.12,0.08,9.3,0.33,6.5,3.8,3,0.5,5.4,0.4,5.4,0.6,3.4,
22,0,0.6,5,0,0,5,1,110,0.05,0.08,6.5,0.08,12,438.1,5,2.7,12.7,3.1,7,12.7,11.5,
23,0.0015,12,5,0.003,12,5,1,110,0.085,0.08,9.3,0.5,6.5,7.6,3,0.5,6.7,3.6,5.9,1.2,14.2,
24,0.0015,0.6,3,0.01,12,1,1,1800,0.12,0.6,3.3,0.15,6.5,7,5,0.6,6.6,3,6.4,0.7,10.6,
25,0.003,0,3,0.0065,0.1,1,1,110,0.12,0.6,12,0.5,12,4.3,3,0.5,5.3,0.3,5.3,0.7,2.4,
26,0.01,12,3,0,0.2,1,1,220,0.05,0.6,3.3,0.33,3.3,23.8,3,0.3,6.5,3.4,5.6,0.6,12.1,
27,0.01,0.2,0.505,0.0015,0.6,1,1,1800,0.12,0.6,9.3,0.08,9.3,31.2,10,2.8,26.5,26.4,7.3,1.5,55.6,
28,0.003,0.1,5,0.0065,0.2,5,1,1010,0.05,0.38,6.5,0.15,9.3,5,3,0.4,5.5,0.5,5.5,0.7,2.4,
29,0.003,12,0.505,0.01,0.1,3,1,1010,0.12,0.38,12,0.08,3.3,33.6,4,0.5,7.3,5,7.2,2.3,25.6,